quote|author|category
A man's real life is that accorded to him in the thoughts of other men by reason of respect or natural love.|Joseph Conrad|['respect']
A man's respect for law and order exists in precise relationship to the size of his paycheck.|Adam Clayton|['relationship', 'respect']
A man's true state of power and riches is to be in himself.|Henry Ward Beecher|['power']
A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.|Albert Camus|['art', 'great', 'work']
A man's worth is no greater than his ambitions.|Marcus Aurelius|['great']
A market is never saturated with a good product, but it is very quickly saturated with a bad one.|Henry Ford|['good']
A marriage contract to me is as binding as any in business, and I have always believed in sticking to an agreement.|Paul Getty|['marriage']
A marriage is no amusement but a solemn act, and generally a sad one.|Queen Victoria|['marriage', 'sad']
A marriage without conflicts is almost as inconceivable as a nation without crises.|Andre Maurois|['marriage']
A master can tell you what he expects of you. A teacher, though, awakens your own expectations.|Patricia Neal|['teacher']
A mathematician is a person who can find analogies between theorems a better mathematician is one who can see analogies between proofs and the best mathematician can notice analogies between theories.|Stefan Banach|['best']
A mediocre idea that generates enthusiasm will go further than a great idea that inspires no one.|Mary Kay Ash|['great']
A member must say that he is a member of the Unification Church and that he is the follower of Sun Myung Moon. If he doesn't have the courage to say it, he is not worthy of me.|Sun Myung Moon|['courage']
A mind that is stretched by a new experience can never go back to its old dimensions.|Oliver Wendell Holmes, Jr.|['experience']
A minute's success pays the failure of years.|Robert Browning|['failure', 'success']
A mission is a place where you ask nonbelievers to come and find faith and hope and feel love.|Robert H. Schuller|['faith', 'hope']
A moment's insight is sometimes worth a life's experience.|Oliver Wendell Holmes, Jr.|['experience']
A monopoly on the means of communication may define a ruling elite more precisely than the celebrated Marxian formula of monopoly in the means of production.|Robert Anton Wilson|['communication']
A morning-glory at my window satisfies me more than the metaphysics of books.|Walt Whitman|['nature']
A mother who is really a mother is never free.|Honore de Balzac|['parenting']
A mother's arms are made of tenderness and children sleep soundly in them.|Victor Hugo|['mothersday']
A mother's happiness is like a beacon, lighting up the future but reflected also on the past in the guise of fond memories.|Honore de Balzac|['future', 'happiness', 'mothersday']
A nation devoid of art and artists cannot have a full existence.|Kemal Ataturk|['art']
A nation is a society united by a delusion about its ancestry and by common hatred of its neighbours.|William Ralph Inge|['patriotism', 'society']
A nation or civilization that continues to produce soft-minded men purchases its own spiritual death on the installment plan.|Martin Luther King, Jr.|['death', 'men']
A nation that continues year after year to spend more money on military defense than on programs of social uplift is approaching spiritual doom.|Martin Luther King, Jr.|['money']
A nation that destroys its soils destroys itself. Forests are the lungs of our land, purifying the air and giving fresh strength to our people.|Franklin D. Roosevelt|['strength']
A nation that does not stand for its children does not stand for anything and will not stand tall in the future.|Marian Wright Edelman|['future']
A nation which makes the final sacrifice for life and freedom does not get beaten.|Kemal Ataturk|['freedom']
A national legal organization is giving very serious thought to using The Betrayal of America as a legal basis for asking the House Judiciary Committee to institute impeachment proceedings against these five justices.|Vincent Bugliosi|['legal']
A national political campaign is better than the best circus ever heard of, with a mass baptism and a couple of hangings thrown in.|H. L. Mencken|['best']
A new father quickly learns that his child invariably comes to the bathroom at precisely the times when he's in there, as if he needed company. The only way for this father to be certain of bathroom privacy is to shave at the gas station.|Bill Cosby|['parenting']
A new idea is delicate. It can be killed by a sneer or a yawn it can be stabbed to death by a quip and worried to death by a frown on the right man's brow.|Ovid|['death']
A new scientific truth does not triumph by convincing its opponents and making them see the light, but rather because its opponents eventually die, and a new generation grows up that is familiar with it.|Max Planck|['truth']
A new sense of shared international responsibility is unmistakable in the voices of the United Nations and its agencies, and in the civil society of thousands of supra-national NGOs.|John Charles Polanyi|['society']
A nickel ain't worth a dime anymore.|Yogi Berra|['funny']
A nickname is the heaviest stone that the devil can throw at a man. It is a bugbear to the imagination, and, though we do not believe in it, it still haunts our apprehensions.|William Hazlitt|['imagination']
A novelist is, like all mortals, more fully at home on the surface of the present than in the ooze of the past.|Vladimir Nabokov|['home']
A painter paints his pictures on canvas. But musicians paint their pictures on silence. We provide the music, and you provide the silence.|Leopold Stokowski|['music']
A painting that is well composed is half finished.|Pierre Bonnard|['art']
A pair of powerful spectacles has sometimes sufficed to cure a person in love.|Friedrich Nietzsche|['love']
A patriot must always be ready to defend his country against his government.|Edward Abbey|['government']
A peace is of the nature of a conquest for then both parties nobly are subdued, and neither party loser.|William Shakespeare|['nature', 'peace']
A pencil and rubber are of more use to thought than a battalion of assistants. To happiness the same applies as to truth: one does not have it, but is in it.|Theodor Adorno|['happiness', 'truth']
A people and their religion must be judged by social standards based on social ethics. No other standard would have any meaning if religion is held to be necessary good for the well-being of the people.|B. R. Ambedkar|['good', 'religion']
A people without the knowledge of their past history, origin and culture is like a tree without roots.|Marcus Garvey|['history', 'knowledge']
A people's literature is the great textbook for real knowledge of them. The writings of the day show the quality of the people as no historical reconstruction can.|Edith Hamilton|['knowledge']
A perpetual holiday is a good working definition of hell.|George Bernard Shaw|['good']
A person cannot love a plant after he has pruned it, then he has either done a poor job or is devoid of emotion.|Liberty Hyde Bailey|['gardening']
A person however learned and qualified in his life's work in whom gratitude is absent, is devoid of that beauty of character which makes personality fragrant.|Hazrat Inayat Khan|['beauty', 'work']
A person is a fool to become a writer. His only compensation is absolute freedom.|Roald Dahl|['freedom']
A person is born with feelings of envy and hate. If he gives way to them, they will lead him to violence and crime, and any sense of loyalty and good faith will be abandoned.|Xun Zi|['faith', 'good']
A person isn't who they are during the last conversation you had with them - they're who they've been throughout your whole relationship.|Rainer Maria Rilke|['relationship']
A person often meets his destiny on the road he took to avoid it.|Jean de La Fontaine|['future']
A person should design the way he makes a living around how he wishes to make a life.|Charlie Byrd|['design']
A person that much interested in science is going to neglect his social life somewhat, but not completely, because that isn't healthy either. So one has to work it out according to one's own inclinations, how one wants to proportion these things.|Clyde Tombaugh|['science']
A person who doubts himself is like a man who would enlist in the ranks of his enemies and bear arms against himself. He makes his failure certain by himself being the first person to be convinced of it.|Alexandre Dumas|['failure']
A person who is too nice an observer of the business of the crowd, like one who is too curious in observing the labor of bees, will often be stung for his curiosity.|Alexander Pope|['business']
A person will sometimes devote all his life to the development of one part of his body - the wishbone.|Robert Frost|['life']
A person with a new idea is a crank until the idea succeeds.|Mark Twain|['success']
A person without a sense of humor is like a wagon without springs. It's jolted by every pebble on the road.|Henry Ward Beecher|['humor']
A person's fears are lighter when the danger is at hand.|Lucius Annaeus Seneca|['fear']
A person, who no matter how desperate the situation, gives others hope, is a true leader.|Daisaku Ikeda|['hope']
A petty reason perhaps why novelists more and more try to keep a distance from journalists is that novelists are trying to write the truth and journalists are trying to write fiction.|Graham Greene|['truth']
A physician without a knowledge of Astrology has no right to call himself a physician.|Hippocrates|['knowledge']
A picture is a poem without words.|Horace|['art']
A picture is worth a thousand words.|Napoleon Bonaparte|['art']
A picture must possess a real power to generate light and for a long time now I've been conscious of expressing myself through light or rather in light.|Henri Matisse|['power']
A pint of sweat, saves a gallon of blood.|George S. Patton|['history']
A place for everything, everything in its place.|Benjamin Franklin|['inspirational']
A plague on eminence! I hardly dare cross the street anymore without a convoy, and I am stared at wherever I go like an idiot member of a royal family or an animal in a zoo and zoo animals have been known to die from stares.|Igor Stravinsky|['family']
A play should give you something to think about. When I see a play and understand it the first time, then I know it can't be much good.|T. S. Eliot|['good', 'time']
A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.|Robert Frost|['poetry']
A poem begins in delight and ends in wisdom.|Robert Frost|['wisdom']
A poem is never finished, only abandoned.|Paul Valery|['poetry']
A poem is true if it hangs together. Information points to something else. A poem points to nothing but itself.|E. M. Forster|['poetry']
A poem might be defined as thinking about feelings - about human feelings and frailties.|Anne Stevenson|['poetry']
A poet can survive everything but a misprint.|Oscar Wilde|['poetry']
A poet is, before anything else, a person who is passionately in love with language.|W. H. Auden|['love', 'poetry']
A poet never takes notes. You never take notes in a love affair.|Robert Frost|['love']
A poet ought not to pick nature's pocket. Let him borrow, and so borrow as to repay by the very act of borrowing. Examine nature accurately, but write from recollection, and trust more to the imagination than the memory.|Samuel Taylor Coleridge|['imagination', 'nature', 'trust']
A policy is a temporary creed liable to be changed, but while it holds good it has got to be pursued with apostolic zeal.|Mahatma Gandhi|['good']
A politician will do anything to keep his job - even become a patriot.|William Randolph|['politics']
A poor man with nothing in his belly needs hope, illusion, more than bread.|Georges Bernanos|['hope']
A popular government without popular information or the means of acquiring it, is but a prologue to a farce, or a tragedy, or perhaps both.|James Madison|['government']
A powerful attraction exists, therefore, to the promotion of a study and of duties of all others engrossing the time most completely, and which is less benefited than most others by any acquaintance with science.|Charles Babbage|['science']
A powerful idea communicates some of its strength to him who challenges it.|Marcel Proust|['communication', 'strength']
A priest is he who lives solely in the realm of the invisible, for whom all that is visible has only the truth of an allegory.|Karl Wilhelm Friedrich Schlegel|['truth']
A prisoner of war is a man who tries to kill you and fails, and then asks you not to kill him.|Winston Churchill|['war']
A problem is a chance for you to do your best.|Duke Ellington|['best']
A professional soldier understands that war means killing people, war means maiming people, war means families left without fathers and mothers.|Norman Schwarzkopf|['war']
A professor is someone who talks in someone else's sleep.|W. H. Auden|['teacher']
A propensity to hope and joy is real riches one to fear and sorrow real poverty.|David Hume|['fear', 'hope']
A proverb is a short sentence based on long experience.|Miguel de Cervantes|['experience']
A proverb is the wisdom of many and the wit of one.|Lord John Russell|['wisdom']
A prudent question is one-half of wisdom.|Francis Bacon|['wisdom']
A public expectation, it has to be said, not of poetry as such but of political positions variously approvable by mutually disapproving groups.|Seamus Heaney|['poetry']
A pure democracy is a society consisting of a small number of citizens, who assemble and administer the government in person.|James Madison|['government', 'society']
A purpose, an intention, a design, strikes everywhere even the careless, the most stupid thinker.|David Hume|['design']
A racially integrated community is a chronological term timed from the entrance of the first black family to the exit of the last white family.|Saul Alinsky|['family']
A rare experience of a moment at daybreak, when something in nature seems to reveal all consciousness, cannot be explained at noon. Yet it is part of the day's unity.|Charles Ives|['experience']
A real Christian is a person who can give his pet parrot to the town gossip.|Billy Graham|['pet']
A real failure does not need an excuse. It is an end in itself.|Gertrude Stein|['failure']
A real gentleman, even if he loses everything he owns, must show no emotion. Money must be so far beneath a gentleman that it is hardly worth troubling about.|Fyodor Dostoevsky|['money']
A really great talent finds its happiness in execution.|Johann Wolfgang von Goethe|['great', 'happiness']
A religion that takes no account of practical affairs and does not help to solve them is no religion.|Mahatma Gandhi|['religion']
A remark generally hurts in proportion to its truth.|Will Rogers|['truth']
A retired teacher paid $62,000 towards her pension and nothing, yes nothing, for full family medical, dental and vision coverage over her entire career. What will we pay her? $1.4 million in pension benefits and another $215,000 in health care benefit premiums over her lifetime.|Chris Christie|['family', 'health', 'medical', 'teacher']
A return to first principles in a republic is sometimes caused by the simple virtues of one man. His good example has such an influence that the good men strive to imitate him, and the wicked are ashamed to lead a life so contrary to his example.|Niccolo Machiavelli|['good', 'life', 'men']
A revival does two things. First, it returns the Church from her backsliding and second, it causes the conversion of men and women and it always includes the conviction of sin on the part of the Church. What a spell the devil seems to cast over the Church today!|Billy Sunday|['women']
A rich man is nothing but a poor man with money.|W. C. Fields|['money']
A rich man told me recently that a liberal is a man who tells other people what to do with their money.|Amiri Baraka|['money']
A rise in the level of saving can reduce aggregate activity temporarily but only a sustained high level of saving makes it possible to have the sustained high level of business investment that contributes to the long-run growth of output.|Martin Feldstein|['business']
A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.|Antoine de Saint-Exupery|['imagination']
A rose is the visible result of an infinitude of complicated goings on in the bosom of the earth and in the air above, and similarly a work of art is the product of strange activities in the human mind.|Clive Bell|['art']
A round man cannot be expected to fit in a square hole right away. He must have time to modify his shape.|Mark Twain|['time']
A rude nature is worse than a brute nature by so much more as man is better than a beast: and those that are of civil natures and genteel dispositions are as much nearer to celestial creatures as those that are rude and cruel are to devils.|Margaret Cavendish|['nature']
A runner must run with dreams in his heart, not money in his pocket.|Emil Zatopek|['dreams', 'fitness', 'money']
A rusty nail placed near a faithful compass, will sway it from the truth, and wreck the argosy.|Walter Scott|['truth']
A sad soul can kill quicker than a germ.|John Steinbeck|['sad']
A safe and nutritionally adequate diet is a basic individual right and an essential condition for sustainable development, especially in developing countries.|Gro Harlem Brundtland|['diet']
A satellite has no conscience.|Edward R. Murrow|['science']
A scientific truth does not triumph by convincing its opponents and making them see the light, but rather because its opponents eventually die and a new generation grows up that is familiar with it.|Max Planck|['science', 'truth']
A screen actor is compensated in the knowledge that millions will see his performance at one time, where only hundreds will see it on the stage.|Bela Lugosi|['knowledge']
A sculptor is a person who is interested in the shape of things, a poet in words, a musician by sounds.|Henry Moore|['art']
A second reason why science cannot replace judgement is the behavior of financial markets.|Martin Feldstein|['science']
A self-taught man usually has a poor teacher and a worse student.|Henny Youngman|['teacher']
A sense is what has the power of receiving into itself the sensible forms of things without the matter, in the way in which a piece of wax takes on the impress of a signet-ring without the iron or gold.|Aristotle|['power']
A sense of duty is useful in work but offensive in personal relations. People wish to be liked, not to be endured with patient resignation.|Bertrand Russell|['work']
A sense of humor is good for you. Have you ever heard of a laughing hyena with heart burn?|Bob Hope|['humor']
A series of rumors about my attitude, as well as derogatory remarks about myself and my family showed me that the personal resentment of the Detroit general manager toward me would make it impossible for me to continue playing hockey in Detroit.|Ted Lindsay|['attitude']
A serious and good philosophical work could be written consisting entirely of jokes.|Ludwig Wittgenstein|['work']
A sexual revolution begins with the emancipation of women, who are the chief victims of patriarchy, and also with the ending of homosexual oppression.|Kate Millett|['women']
A short saying often contains much wisdom.|Sophocles|['wisdom']
A show that no one thought had a chance has just finished its fifth year: Charmed. I think it's tougher for the younger networks, so I think they have a little more patience for the sake of the show. But who knows?|Aaron Spelling|['patience']
A significant piece of the wealth that the NFL owners garner is a result of the enormous TV revenues they get - and those revenues are supported by a legislatively granted exemption from the antitrust laws that has been made applicable to sports leagues, primarily the NFL.|Eliot Spitzer|['sports']
A sincere and steadfast co-operation in promoting such a reconstruction of our political system as would provide for the permanent liberty and happiness of the United States.|James Madison|['happiness']
A singer starts by having his instrument as a gift from God... When you have been given something in a moment of grace, it is sacrilegious to be greedy.|Marian Anderson|['god']
A single conversation across the table with a wise man is better than ten years mere study of books.|Henry Wadsworth Longfellow|['learning']
A single rose can be my garden... a single friend, my world.|Leo Buscaglia|['friendship']
A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.|Mahatma Gandhi|['faith', 'history']
A small group of thoughtful people could change the world. Indeed, it's the only thing that ever has.|Margaret Mead|['change']
A smile abroad is often a scowl at home.|Alfred Lord Tennyson|['home', 'smile']
A smile is the chosen vehicle of all ambiguities.|Herman Melville|['smile']
A smile is the universal welcome.|Max Eastman|['smile']
A so-called happy marriage corresponds to love as a correct poem to an improvised song.|Karl Wilhelm Friedrich Schlegel|['marriage']
A society deadened by a smothering network of laws while finding release in moral chaos is not likely to be either happy or stable.|Robert Bork|['society']
A society made up of individuals who were all capable of original thought would probably be unendurable.|H. L. Mencken|['society']
A society that gets rid of all its troublemakers goes downhill.|Robert A. Heinlein|['society']
A soldier will fight long and hard for a bit of colored ribbon.|Napoleon Bonaparte|['war']
A sorrow's crown of sorrow is remembering happier times.|Alfred Lord Tennyson|['sympathy']
A speculator is a man who observes the future, and acts before it occurs.|Bernard Baruch|['future']
A spirit is, like, your mother, my dad, who've made it. They can come around, but they come around in a loving way because they've already made it to God. Most people make it.|Sylvia Browne|['dad']
A spy, like a writer, lives outside the mainstream population. He steals his experience through bribes and reconstructs it.|John le Carre|['experience']
A stale article, if you dip it in a good, warm, sunny smile, will go off better than a fresh one that you've scowled upon.|Nathaniel Hawthorne|['smile']
A star on a movie set is like a time bomb. That bomb has got to be defused so people can approach it without fear.|Jack Nicholson|['fear']
A state of war only serves as an excuse for domestic tyranny.|Aleksandr Solzhenitsyn|['war']
A state that suppresses all freedom of speech, and which by imposing the most terrible punishments, treats each and every attempt at criticism, however morally justified, and every suggestion for improvement as plotting to high treason, is a state that breaks an unwritten law.|Kurt Huber|['freedom']
A statesman wants courage and a statesman wants vision but believe me, after six months' experience, he wants first, second, third and all the time - patience.|Stanley Baldwin|['courage', 'experience', 'patience']
A steady patriot of the world alone, The friend of every country but his own.|George Canning|['alone']
A stockbroker urged me to buy a stock that would triple its value every year. I told him, 'At my age, I don't even buy green bananas.'|Claude Pepper|['age', 'funny']
A story should have a beginning, a middle and an end, but not necessarily in that order.|Jean-Luc Godard|['movies']
A strange thing is memory, and hope one looks backward, and the other forward one is of today, the other of tomorrow. Memory is history recorded in our brain, memory is a painter, it paints pictures of the past and of the day.|Grandma Moses|['history', 'hope']
A strategy is something like, an innovative new product globalization, taking your products around the world be the low-cost producer. A strategy is something you can touch you can motivate people with be number one and number two in every business. You can energize people around the message.|Jack Welch|['business']
A strength to harm is perilous in the hand of an ambitious head.|Elizabeth I|['strength']
A strong argument for the religion of Christ is this - that offences against Charity are about the only ones which men on their death-beds can be made - not to understand - but to feel - as crime.|Edgar Allan Poe|['men', 'religion']
A strong body makes the mind strong. As to the species of exercises, I advise the gun. While this gives moderate exercise to the body, it gives boldness, enterprise and independence to the mind. Games played with the ball, and others of that nature, are too violent for the body and stamp no character on the mind. Let your gun therefore be your constant companion of your walks.|Thomas Jefferson|['nature']
A strong man doesn't have to be dominant toward a woman. He doesn't match his strength against a woman weak with love for him. He matches it against the world.|Marilyn Monroe|['love', 'strength']
A strong mind always hopes, and has always cause to hope.|Thomas Carlyle|['hope']
A strong positive mental attitude will create more miracles than any wonder drug.|Patricia Neal|['attitude', 'positive']
A strong woman is a woman determined to do something others are determined not be done.|Marge Piercy|['strength']
A strong, positive self-image is the best possible preparation for success.|Joyce Brothers|['best', 'positive', 'success']
A study of the history of opinion is a necessary preliminary to the emancipation of the mind.|John Maynard Keynes|['history']
A subject for a great poet would be God's boredom after the seventh day of creation.|Friedrich Nietzsche|['god', 'great']
A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.|Isaac Asimov|['great']
A successful lawsuit is the one worn by a policeman.|Robert Frost|['legal']
A successful man is one who can lay a firm foundation with the bricks others have thrown at him.|David Brinkley|['success']
A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.|Lana Turner|['funny', 'money']
A successful marriage is an edifice that must be rebuilt every day.|Andre Maurois|['marriage']
A successful society is characterized by a rising living standard for its population, increasing investment in factories and basic infrastructure, and the generation of additional surplus, which is invested in generating new discoveries in science and technology.|Robert Trout|['science', 'technology']
A sure cure for seasickness is to sit under a tree.|Spike Milligan|['funny']
A sure way to lose happiness, I found, is to want it at the expense of everything else.|Bette Davis|['happiness']
A table, a chair, a bowl of fruit and a violin what else does a man need to be happy?|Albert Einstein|['happiness']
A tart temper never mellows with age, and a sharp tongue is the only edged tool that grows keener with constant use.|Washington Irving|['age']
A taste for truth at any cost is a passion which spares nothing.|Albert Camus|['truth']
A teacher affects eternity he can never tell where his influence stops.|Henry Adams|['teacher']
A teacher should have maximal authority, and minimal power.|Thomas Szasz|['teacher']
A teacher who is not dogmatic is simply a teacher who is not teaching.|Gilbert K. Chesterton|['teacher']
A team is where a boy can prove his courage on his own. A gang is where a coward goes to hide.|Mickey Mantle|['courage']
A technical solution may be defined as one that requires a change only in the techniques of the natural sciences, demanding little or nothing in the way of change in human values or ideas of morality.|Garrett Hardin|['change']
A thing is mighty big when time and distance cannot shrink it.|Zora Neale Hurston|['time']
A thing is right when it tends to preserve the integrity, stability and beauty of the biotic community. It is wrong when it tends otherwise.|Aldo Leopold|['beauty']
A thing moderately good is not so good as it ought to be. Moderation in temper is always a virtue but moderation in principle is always a vice.|Thomas Paine|['good']
A thing of beauty is a joy forever: its loveliness increases it will never pass into nothingness.|John Keats|['beauty']
A thorough knowledge of the Bible is worth more than a college education.|Theodore Roosevelt|['education', 'knowledge', 'religion']
A time will come when a politician who has willfully made war and promoted international dissension will be as sure of the dock and much surer of the noose than a private homicide. It is not reasonable that those who gamble with men's lives should not stake their own.|H. G. Wells|['men', 'time', 'war']
A tool is usually more simple than a machine it is generally used with the hand, whilst a machine is frequently moved by animal or steam power.|Charles Babbage|['power']
A toothache, or a violent passion, is not necessarily diminished by our knowledge of its causes, its character, its importance or insignificance.|T. S. Eliot|['knowledge']
A total nuclear freeze is counterproductive - especially now, when technology is rapidly changing and the Soviets have some important strategic advantages.|Herman Kahn|['technology']
A tragedy need not have blood and death it's enough that it all be filled with that majestic sadness that is the pleasure of tragedy.|Jean Racine|['death']
A tramp, a gentleman, a poet, a dreamer, a lonely fellow, always hopeful of romance and adventure.|Charlie Chaplin|['romantic']
A transfer of money should never be involved in this profound situation. Although illness is profound, too, but medicine's a business today. It's a business.|Jack Kevorkian|['business', 'money']
A tree is known by its fruit a man by his deeds. A good deed is never lost he who sows courtesy reaps friendship, and he who plants kindness gathers love.|Saint Basil|['friendship', 'good', 'love']
A true friend freely, advises justly, assists readily, adventures boldly, takes all patiently, defends courageously, and continues a friend unchangeably.|William Penn|['friendship']
A true teacher defends his students against his own personal influences.|Amos Bronson Alcott|['teacher']
A truer image of the world, I think, is obtained by picturing things as entering into the stream of time from an eternal world outside, than from a view which regards time as the devouring tyrant of all that is.|Bertrand Russell|['time']
A truly American sentiment recognizes the dignity of labor and the fact that honor lies in honest toil.|Grover Cleveland|['history']
A truly good book teaches me better than to read it. I must soon lay it down, and commence living on its hint. What I began by reading, I must finish by acting.|Henry David Thoreau|['good']
A truth that's told with bad intent beats all the lies you can invent.|William Blake|['truth']
A typical vice of American politics is the avoidance of saying anything real on real issues.|Theodore Roosevelt|['politics']
A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that he has the gods on his side.|Aristotle|['religion']
A useless life is an early death.|Johann Wolfgang von Goethe|['death']
A vacuum is a hell of a lot better than some of the stuff that nature replaces it with.|Tennessee Williams|['nature']
A vegetarian is a person who won't eat anything that can have children.|David Brenner|['funny']
A verbal art like poetry is reflective it stops to think. Music is immediate, it goes on to become.|W. H. Auden|['art', 'music', 'poetry']
A very Faustian choice is upon us: whether to accept our corrosive and risky behavior as the unavoidable price of population and economic growth, or to take stock of ourselves and search for a new environmental ethic.|E. O. Wilson|['environmental']
A very intimate sense of the expressiveness of outward things, which ponders, listens, penetrates, where the earlier, less developed consciousness passed lightly by, is an important element in the general temper of our modern poetry.|Walter Pater|['poetry']
A very small degree of hope is sufficient to cause the birth of love.|Stendhal|['hope', 'love']
A veteran journalist has never had time to think twice before he writes.|George Bernard Shaw|['time']
A visit to a cinema is a little outing in itself. It breaks the monotony of an afternoon or evening it gives a change from the surroundings of home, however pleasant.|Ivor Novello|['change', 'home']
A vow is a purely religious act which cannot be taken in a fit of passion. It can be taken only with a mind purified and composed and with God as witness.|Mahatma Gandhi|['god']
A war between Europeans is a civil war.|Victor Hugo|['war']
A weak mind is like a microscope, which magnifies trifling things, but cannot receive great ones.|Lord Chesterfield|['great']
A wedding is a funeral where you smell your own flowers.|Eddie Cantor|['marriage', 'wedding']
A well regulated militia, composed of the body of the people, trained in arms, is the best most natural defense of a free country.|James Madison|['best']
A well-instructed people alone can be permanently a free people.|James Madison|['alone']
A well-spent day brings happy sleep.|Leonardo da Vinci|['life']
A whole stack of memories never equal one little hope.|Charles M. Schulz|['hope']
A wide screen just makes a bad film twice as bad.|Samuel Goldwyn|['movies']
A widow's refusal of a lover is seldom so explicit as to exclude hope.|Samuel Richardson|['hope']
A wise and frugal Government, which shall restrain men from injuring one another, which shall leave them otherwise free to regulate their own pursuits of industry and improvement, and shall not take from the mouth of labor the bread it has earned. This is the sum of good government, and this is necessary to close the circlue of our felicities.|Thomas Jefferson|['good', 'government', 'men']
A wise government knows how to enforce with temper, or to conciliate with dignity.|George Grenville|['government']
A wise man is superior to any insults which can be put upon him, and the best reply to unseemly behavior is patience and moderation.|Moliere|['best', 'patience', 'wisdom']
A wise man should consider that health is the greatest of human blessings, and learn how by his own thought to derive benefit from his illnesses.|Hippocrates|['health']
A wise man should have money in his head, but not in his heart.|Jonathan Swift|['money']
A wise man will make haste to forgive, because he knows the true value of time, and will not suffer it to pass away in unnecessary pain.|Samuel Johnson|['time']
A wise person should have money in their head, but not in their heart.|Jonathan Swift|['money']
A wise ruler ought never to keep faith when by doing so it would be against his interests.|Niccolo Machiavelli|['faith']
A wise traveler never despises his own country.|William Hazlitt|['travel']
A wise woman never yields by appointment. It should always be an unforeseen happiness.|Stendhal|['happiness']
A witness, in the sense that I am using the word, is a man whose life and faith are so completely one that when the challenge comes to step out and testify for his faith, he does so, disregarding all risks, accepting all consequences.|Whittaker Chambers|['faith']
A woman asking 'Am I good? Am I satisfied?' is extremely selfish. The less women fuss about themselves, the less they talk to other women, the more they try to please their husbands, the happier the marriage is going to be.|Barbara Cartland|['marriage', 'women']
A woman can bring a new love to each man she loves, providing there are not too many.|Marilyn Monroe|['love']
A woman can't be alone. She needs a man. A man and a woman support and strengthen each other. She just can't do it by herself.|Marilyn Monroe|['alone']
A woman has the age she deserves.|Coco Chanel|['age']
A woman in love can't be reasonable - or she probably wouldn't be in love.|Mae West|['love']
A woman is like a tea bag - you can't tell how strong she is until you put her in hot water.|Eleanor Roosevelt|['women']
A woman knows by intuition, or instinct, what is best for herself.|Marilyn Monroe|['best']
A woman knows the face of the man she loves as a sailor knows the open sea.|Honore de Balzac|['love']
A woman may very well form a friendship with a man, but for this to endure, it must be assisted by a little physical antipathy.|Friedrich Nietzsche|['friendship']
A woman must have money and a room of her own if she is to write fiction.|Virginia Woolf|['money']
A woman seldom asks advice before she has bought her wedding clothes.|Joseph Addison|['wedding']
A woman tells her doctor, 'I've got a bad back.' The doctor says, 'It's old age.' The woman says, 'I want a second opinion.' The doctor says: 'Okay - you're ugly as well.'|Tommy Cooper|['age']
A woman uses her intelligence to find reasons to support her intuition.|Gilbert K. Chesterton|['intelligence']
A woman's best protection is a little money of her own.|Clare Boothe Luce|['best', 'money']
A woman's health is her capital.|Harriet Beecher Stowe|['health']
A woman's heart must be of such a size and no larger, else it must be pressed small, like Chinese feet her happiness is to be made as cakes are, by a fixed recipe.|George Eliot|['happiness']
A woman's life can really be a succession of lives, each revolving around some emotionally compelling situation or challenge, and each marked off by some intense experience.|Wallis Simpson|['experience', 'life']
A woman's two cents worth is worth two cents in the music business.|Loretta Lynn|['business']
A woman's whole life is a history of the affections.|Washington Irving|['history']
A women who doesn't wear perfume has no future.|Coco Chanel|['future', 'women']
A women's greatest asset is her beauty.|Alex Comfort|['beauty', 'women']
A wonderful thing about a book, in contrast to a computer screen, is that you can take it to bed with you.|Daniel J. Boorstin|['computers']
A word after a word after a word is power.|Margaret Atwood|['power']
A word does not frighten the man who, in acting, feels no fear.|Sophocles|['fear']
A word to the wise ain't necessary - it's the stupid ones that need the advice.|Bill Cosby|['funny']
A work of art has no importance whatever to society. It is only important to the individual.|Vladimir Nabokov|['art', 'society', 'work']
A work of art is the unique result of a unique temperament.|Oscar Wilde|['art', 'work']
A work of art that contains theories is like an object on which the price tag has been left.|Alexander Pope|['art', 'work']
A work of art which did not begin in emotion is not art.|Paul Cezanne|['art', 'work']
A world technology means either a world government or world suicide.|Max Lerner|['technology']
A writer of fiction lives in fear. Each new day demands new ideas and he can never be sure whether he is going to come up with them or not.|Roald Dahl|['fear']
A writer should get as much education as possible, but just going to school is not enough if it were, all owners of doctorates would be inspired writers.|Gwendolyn Brooks|['education']
A writer should have the precision of a poet and the imagination of a scientist.|Vladimir Nabokov|['imagination']
A writer should write with his eyes and a painter paint with his ears.|Gertrude Stein|['art']
A writer's job is to tell the truth.|Andy Rooney|['truth']
A year is an eternity in politics - though less than a moment in history.|Eliot Spitzer|['history', 'politics']
A year spent in artificial intelligence is enough to make one believe in God.|Alan Perlis|['god', 'intelligence', 'science']
