quote|author|category
A fool and his money are soon elected.|Will Rogers|['money', 'politics']
A fool's brain digests philosophy into folly, science into superstition, and art into pedantry. Hence University education.|George Bernard Shaw|['art', 'education', 'science']
A free America... means just this: individual freedom for all, rich or poor, or else this system of government we call democracy is only an expedient to enslave man to the machine and make him like it.|Frank Lloyd Wright|['freedom', 'government', 'politics']
A free economy is as essential to society as democratic political institutions. A strong market-based economy is the fertile ground for democratic freedoms that we think are important.|Lee R. Raymond|['society']
A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.|Albert Camus|['freedom', 'good']
A frenzied passion for art is a canker that devours everything else.|Charles Baudelaire|['art']
A friend is one who walks in when others walk out.|Walter Winchell|['friendship']
A friend is, as it were, a second self.|Marcus Tullius Cicero|['friendship']
A friend may well be reckoned the masterpiece of nature.|Ralph Waldo Emerson|['friendship', 'nature']
A friend to all is a friend to none.|Aristotle|['friendship']
A friend who dies, it's something of you who dies.|Gustave Flaubert|['death']
A friendship founded on business is better than a business founded on friendship.|John D. Rockefeller|['business', 'friendship']
A friendship like love is warm a love like friendship is steady.|Thomas More|['friendship']
A friendship that like love is warm A love like friendship, steady.|Thomas Moore|['friendship', 'love', 'valentinesday']
A functioning, robust democracy requires a healthy educated, participatory followership, and an educated, morally grounded leadership.|Chinua Achebe|['leadership']
A garden is a complex of aesthetic and plastic intentions and the plant is, to a landscape artist, not only a plant - rare, unusual, ordinary or doomed to disappearance - but it is also a color, a shape, a volume or an arabesque in itself.|Roberto Burle Marx|['gardening']
A garden must combine the poetic and he mysterious with a feeling of serenity and joy.|Luis Barragan|['gardening']
A garden requires patient labor and attention. Plants do not grow merely to satisfy ambitions or to fulfill good intentions. They thrive because someone expended effort on them.|Liberty Hyde Bailey|['gardening', 'good']
A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.|William Hazlitt|['smile', 'work']
A gentleman is simply a patient wolf.|Lana Turner|['men']
A genuine leader is not a searcher for consensus but a molder of consensus.|Martin Luther King, Jr.|['leadership']
A gift consists not in what is done or given, but in the intention of the giver or doer.|Lucius Annaeus Seneca|['birthday']
A gift, with a kind countenance, is a double present.|Thomas Fuller|['birthday']
A girl phoned me the other day and said... 'Come on over, there's nobody home.' I went over. Nobody was home.|Rodney Dangerfield|['home']
A girl should be two things: classy and fabulous.|Coco Chanel|['valentinesday']
A girl's legs are her best friends... but even the best of friends must part.|Redd Foxx|['best']
A gloomy guest fits not a wedding feast.|Friedrich Schiller|['wedding']
A god who let us prove his existence would be an idol.|Dietrich Bonhoeffer|['god']
A good artist should be isolated. If he isn't isolated, something is wrong.|Orson Welles|['good']
A good boss makes his men realize they have more ability than they think they have so that they consistently do better work than they thought they could.|Charles Erwin Wilson|['men', 'work']
A good conscience is a continual Christmas.|Benjamin Franklin|['good', 'christmas']
A good cook is like a sorceress who dispenses happiness.|Elsa Schiaparelli|['happiness']
A good decision is based on knowledge and not on numbers.|Plato|['good', 'knowledge', 'wisdom']
A good deed never goes unpunished.|Gore Vidal|['good']
A good education is usually harmful to a dancer. A good calf is better than a good head.|Agnes de Mille|['education']
A good face they say, is a letter of recommendation. O Nature, Nature, why art thou so dishonest, as ever to send men with these false recommendations into the World!|Henry Fielding|['nature']
A good film is when the price of the dinner, the theatre admission and the babysitter were worth it.|Alfred Hitchcock|['movies']
A good garden may have some weeds.|Thomas Fuller|['gardening', 'good']
A good government implies two things first, fidelity to the objects of the government secondly, a knowledge of the means, by which those objects can be best attained.|Joseph Story|['knowledge']
A good historian is timeless although he is a patriot, he will never flatter his country in any respect.|Francois Fenelon|['respect']
A good husband is never the first to go to sleep at night or the last to awake in the morning.|Honore de Balzac|['good', 'marriage', 'morning']
A good husband makes a good wife.|John Florio|['good']
A good indignation brings out all one's powers.|Ralph Waldo Emerson|['good']
A good laugh is sunshine in the house.|William Makepeace Thackeray|['good']
A good man can be stupid and still be good. But a bad man must have brains.|Maxim Gorky|['good']
A good man would prefer to be defeated than to defeat injustice by evil means.|Sallust|['good']
A good marriage is one which allows for change and growth in the individuals and in the way they express their love.|Pearl S. Buck|['change', 'marriage']
A good marriage would be between a blind wife and a deaf husband.|Michel de Montaigne|['good', 'marriage']
A good novel tells us the truth about its hero but a bad novel tells us the truth about its author.|Gilbert K. Chesterton|['good', 'truth']
A good painting to me has always been like a friend. It keeps me company, comforts and inspires.|Hedy Lamarr|['art', 'good']
A good photograph is knowing where to stand.|Ansel Adams|['good']
A good picture is equivalent to a good deed.|Vincent Van Gogh|['good']
A good plan violently executed now is better than a perfect plan executed next week.|George S. Patton|['good']
A good politician is quite as unthinkable as an honest burglar.|H. L. Mencken|['good']
A good reputation is more valuable than money.|Publilius Syrus|['good', 'money']
A good scientist is a person with original ideas. A good engineer is a person who makes a design that works with as few original ideas as possible. There are no prima donnas in engineering.|Freeman Dyson|['design']
A good teacher must be able to put himself in the place of those who find learning hard.|Eliphas Levi|['learning', 'teacher']
A good way I know to find happiness, is to not bore a hole to fit the plug.|Josh Billings|['happiness']
A good wife is one who serves her husband in the morning like a mother does, loves him in the day like a sister does and pleases him like a prostitute in the night.|Chanakya|['good', 'morning']
A good writer possesses not only his own spirit but also the spirit of his friends.|Friedrich Nietzsche|['good']
A government for the people must depend for its success on the intelligence, the morality, the justice, and the interest of the people themselves.|Grover Cleveland|['government', 'intelligence', 'success']
A government is invigorated when each of us is willing to participate in shaping the future of this nation.|Barbara Jordan|['future', 'government']
A government is the only vessel that leaks from the top.|James Reston|['government']
A government must not waiver once it has chosen it's course. It must not look to the left or right but go forward.|Otto von Bismarck|['government']
A government of laws, and not of men.|John Adams|['government', 'men']
A government that robs Peter to pay Paul can always depend on the support of Paul.|George Bernard Shaw|['funny', 'government']
A government, for protecting business only, is but a carcass, and soon falls by its own corruption and decay.|Amos Bronson Alcott|['business', 'government']
A graduation ceremony is an event where the commencement speaker tells thousands of students dressed in identical caps and gowns that 'individuality' is the key to success.|Robert Orben|['graduation', 'success']
A grain of poetry suffices to season a century.|Jose Marti|['poetry']
A grandchild is a miracle, but a renewed relationship with your own children is even a greater one.|T. Berry Brazelton|['relationship']
A grave blockhead should always go about with a lively one - they show one another off to the best advantage.|William Hazlitt|['best']
A great age of literature is perhaps always a great age of translations.|Ezra Pound|['age']
A great architect is not made by way of a brain nearly so much as he is made by way of a cultivated, enriched heart.|Frank Lloyd Wright|['great']
A great artist is a great man in a great child.|Victor Hugo|['great']
A great artist is always before his time or behind it.|George Edward Moore|['art', 'great', 'time']
A great building must begin with the unmeasurable, must go through measurable means when it is being designed and in the end must be unmeasurable.|Louis Kahn|['architecture', 'great']
A great chef is an artist that I truly respect.|Robert Stack|['respect']
A great city is not to be confounded with a populous one.|Aristotle|['great']
A great city is that which has the greatest men and women.|Walt Whitman|['great', 'men', 'women']
A great city, whose image dwells in the memory of man, is the type of some great idea. Rome represents conquest Faith hovers over the towers of Jerusalem and Athens embodies the pre-eminent quality of the antique world, Art.|Benjamin Disraeli|['art', 'faith', 'great']
A great deal of intelligence can be invested in ignorance when the need for illusion is deep.|Saul Bellow|['great', 'intelligence']
A great deal of talent is lost to the world for want of a little courage. Every day sends to their graves obscure men whose timidity prevented them from making a first effort.|Sydney Smith|['courage', 'great', 'men']
A great empire, like a great cake, is most easily diminished at the edges.|Benjamin Franklin|['great']
A great fortune is a great slavery.|Lucius Annaeus Seneca|['great']
A great man is always willing to be little.|Ralph Waldo Emerson|['great']
A great man is different from an eminent one in that he is ready to be the servant of the society.|B. R. Ambedkar|['great', 'society']
A great man is made up of qualities that meet or make great occasions.|James Russell Lowell|['great']
A great many people think that polysyllables are a sign of intelligence.|Barbara Walters|['intelligence']
A great many people think they are thinking when they are merely rearranging their prejudices.|William James|['great']
A great many things which in times of lesser knowledge we imagined to be superstitious or useless, prove today on examination to have been of immense value to mankind.|Lafcadio Hearn|['knowledge']
A great memory is never made synonymous with wisdom, any more than a dictionary would be called a treatise.|John Henry Newman|['wisdom']
A great mind becomes a great fortune.|Lucius Annaeus Seneca|['great']
A great part of courage is the courage of having done the thing before.|Ralph Waldo Emerson|['courage', 'great']
A great photograph is one that fully expresses what one feels, in the deepest sense, about what is being photographed.|Ansel Adams|['great']
A great pleasure in life is doing what people say you cannot do.|Walter Bagehot|['great']
A great revolution in just one single individual will help achieve a change in the destiny of a society and, further, will enable a change in the destiny of humankind.|Daisaku Ikeda|['change', 'great', 'society']
A great secret of success is to go through life as a man who never gets used up.|Albert Schweitzer|['great', 'success']
A great social success is a pretty girl who plays her cards as carefully as if she were plain.|F. Scott Fitzgerald|['great', 'success']
A great thing can only be done by a great person and they do it without effort.|John Ruskin|['great']
A great truth is a truth whose opposite is also a truth.|Thomas Mann|['truth']
A great value of antiquity lies in the fact that its writings are the only ones that modern men still read with exactness.|Friedrich Nietzsche|['great', 'men']
A great wind is blowing, and that gives you either imagination or a headache.|Catherine the Great|['imagination']
A grocer is attracted to his business by a magnetic force as great as the repulsion which renders it odious to artists.|Honore de Balzac|['business', 'great']
A group or an artist shouldn't get his money until his boss gets his.|Bobby Darin|['business', 'money']
A guilty conscience needs to confess. A work of art is a confession.|Albert Camus|['art', 'work']
A happy family is but an earlier heaven.|George Bernard Shaw|['family']
A happy life is one spent in learning, earning, and yearning.|Lillian Gish|['learning']
A happy life is one which is in accordance with its own nature.|Lucius Annaeus Seneca|['nature']
A happy life must be to a great extent a quiet life, for it is only in an atmosphere of quiet that true joy dare live.|Bertrand Russell|['great']
A happy marriage is a long conversation which always seems too short.|Andre Maurois|['marriage']
A hard man is good to find.|Mae West|['good']
A harmful truth is better than a useful lie.|Thomas Mann|['truth']
A hatred of failure has always been part of my nature.|Paul Getty|['failure', 'nature']
A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.|Tom Stoppard|['attitude', 'health']
A healthy vision of the future is not possible without an accurate knowledge of the past.|Daisaku Ikeda|['future', 'knowledge']
A heart is not judged by how much you love, but by how much you are loved by others.|Frank Morgan|['love', 'valentinesday']
A heart makes a good home for the friend.|Yunus Emre|['home']
A heart well prepared for adversity in bad times hopes, and in good times fears for a change in fortune.|Horace|['change', 'wisdom']
A hero is born among a hundred, a wise man is found among a thousand, but an accomplished one might not be found even among a hundred thousand men.|Plato|['men']
A hero is someone who has given his or her life to something bigger than oneself.|Joseph Campbell|['life']
A home without books is a body without soul.|Marcus Tullius Cicero|['home']
A horse is a thing of beauty... none will tire of looking at him as long as he displays himself in his splendor.|Xenophon|['beauty']
A hospital bed is a parked taxi with the meter running.|Groucho Marx|['medical']
A house is a machine for living in.|Le Corbusier|['architecture']
A house is no home unless it contain food and fire for the mind as well as for the body.|Margaret Fuller|['food', 'home']
A house is not a home unless it contains food and fire for the mind as well as the body.|Benjamin Franklin|['food', 'home']
A hug is like a boomerang - you get it back right away.|Bil Keane|['friendship']
A human being has been given an intellect to make choices, and we know there are other food sources that do not require the killing of a creature that would protest being killed.|Mary Tyler Moore|['food']
A human being has so many skins inside, covering the depths of the heart. We know so many things, but we don't know ourselves! Why, thirty or forty skins or hides, as thick and hard as an ox's or bear's, cover the soul. Go into your own ground and learn to know yourself there.|Meister Eckhart|['inspirational']
A hypocrite despises those whom he deceives, but has no respect for himself. He would make a dupe of himself too, if he could.|William Hazlitt|['respect']
A jealous lover of human liberty, deeming it the absolute condition of all that we admire and respect in humanity, I reverse the phrase of Voltaire, and say that, if God really existed, it would be necessary to abolish him.|Mikhail Bakunin|['respect']
A joke is a very serious thing.|Winston Churchill|['humor']
A journey by Sea and Land, Five Hundred Miles, is not undertaken without money.|Lewis Hallam|['travel']
A journey is like marriage. The certain way to be wrong is to think you control it.|John Steinbeck|['marriage']
A judgment about life has no meaning except the truth of the one who speaks last, and the mind is at ease only at the moment when everyone is shouting at once and no one can hear a thing.|Georges Bataille|['truth']
A junkie is someone who uses their body to tell society that something is wrong.|Stella Adler|['society']
A just and reasonable modesty does not only recommend eloquence, but sets off every great talent which a man can be possessed of.|Joseph Addison|['great']
